center_y,center_x,radius,AM,Mac,Undefined,Endothelial,Neutrophil,AT2,Dendritic,Treg,T_others,Tc,AT1,NK_cell,B_cell,Monocyte
1143.919191919192,1380.8181818181818,50,1.0,1.0,1.0,,,,,,,,,,,
1143.919191919192,1380.8181818181818,100,2.0,3.0,2.0,1.0,1.0,,,,,,,,,
1143.919191919192,1380.8181818181818,150,5.0,6.0,3.0,1.0,1.0,2.0,2.0,1.0,,,,,,
993.6565656565657,323.2099616161616,50,,,,,,,,,2.0,1.0,,,,
993.6565656565657,323.2099616161616,100,,6.0,1.0,,,,3.0,1.0,5.0,2.0,,,,
993.6565656565657,323.2099616161616,150,1.0,11.0,8.0,,,2.0,4.0,2.0,6.0,5.0,1.0,1.0,1.0,
1789.0108333333333,772.8686868686868,50,,,1.0,,,1.0,,1.0,,,,,,1.0
1789.0108333333333,772.8686868686868,100,,3.0,2.0,1.0,,3.0,1.0,2.0,1.0,2.0,2.0,1.0,,2.0
1789.0108333333333,772.8686868686868,150,2.0,6.0,5.0,3.0,,3.0,2.0,3.0,7.0,3.0,3.0,1.0,,2.0
428.7272727272727,836.6666666666667,50,,,,,,,1.0,,,1.0,,,,
428.7272727272727,836.6666666666667,100,,3.0,2.0,,,,2.0,,,1.0,3.0,,,
428.7272727272727,836.6666666666667,150,,8.0,7.0,3.0,,2.0,4.0,,2.0,2.0,4.0,,1.0,1.0
118.04276666666667,1888.5757575757575,50,,1.0,,1.0,,,1.0,,,2.0,,,,
118.04276666666667,1888.5757575757575,100,,4.0,,1.0,,,1.0,,,2.0,,,,
118.04276666666667,1888.5757575757575,150,1.0,7.0,,1.0,,1.0,2.0,,1.0,2.0,1.0,,1.0,1.0
568.1897595959597,1206.171717171717,50,,1.0,,,,,1.0,,1.0,1.0,,,,
568.1897595959597,1206.171717171717,100,,4.0,4.0,3.0,,,1.0,,2.0,1.0,1.0,,,
568.1897595959597,1206.171717171717,150,1.0,4.0,6.0,5.0,,,5.0,,5.0,2.0,3.0,,,
1595.4343434343434,256.85706969696975,50,1.0,,,,,,1.0,,1.0,,,,,
1595.4343434343434,256.85706969696975,100,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,
1595.4343434343434,256.85706969696975,150,2.0,3.0,4.0,2.0,,2.0,2.0,1.0,5.0,3.0,1.0,,1.0,
630.9523787878788,587.2727272727273,50,,1.0,1.0,,,,3.0,,,,,,,
630.9523787878788,587.2727272727273,100,1.0,3.0,2.0,2.0,,,3.0,,1.0,,1.0,1.0,,
630.9523787878788,587.2727272727273,150,3.0,8.0,7.0,5.0,2.0,,4.0,,1.0,1.0,1.0,1.0,3.0,3.0
1655.952406060606,1380.6022727272727,50,,,3.0,,,,,,1.0,1.0,,,,
1655.952406060606,1380.6022727272727,100,3.0,2.0,3.0,2.0,,2.0,,,1.0,3.0,1.0,,,1.0
1655.952406060606,1380.6022727272727,150,5.0,6.0,5.0,2.0,1.0,2.0,3.0,,1.0,4.0,4.0,,,3.0
1383.787884848485,1749.487,50,,,,,,,1.0,,,,1.0,,,
1383.787884848485,1749.487,100,1.0,1.0,,1.0,,1.0,2.0,,2.0,,1.0,,,
1383.787884848485,1749.487,150,3.0,5.0,,1.0,,1.0,3.0,1.0,3.0,,1.0,2.0,,
